,id,title,context,question,answers_x,prediction_text,answers_y,correct
4132,57264e455951b619008f6f65,European_Union_law,"Commissioners have various privileges, such as being exempt from member state taxes (but not EU taxes), and having immunity from prosecution for doing official acts. Commissioners have sometimes been found to have abused their offices, particularly since the Santer Commission was censured by Parliament in 1999, and it eventually resigned due to corruption allegations. This resulted in one main case, Commission v Edith Cresson where the European Court of Justice held that a Commissioner giving her dentist a job, for which he was clearly unqualified, did in fact not break any law. By contrast to the ECJ's relaxed approach, a Committee of Independent Experts found that a culture had developed where few Commissioners had ‘even the slightest sense of responsibility’. This led to the creation of the European Anti-fraud Office. In 2012 it investigated the Maltese Commissioner for Health, John Dalli, who quickly resigned after allegations that he received a €60m bribe in connection with a Tobacco Products Directive. Beyond the Commission, the European Central Bank has relative executive autonomy in its conduct of monetary policy for the purpose of managing the euro. It has a six-person board appointed by the European Council, on the Council's recommendation. The President of the Council and a Commissioner can sit in on ECB meetings, but do not have voting rights.","What commission was censured in 1999, and paved the way for Commissioners to abuse their power?","{'text': array(['the Santer Commission', 'the Santer Commission',
       'the Santer Commission', 'the Santer Commission'], dtype=object), 'answer_start': array([255, 255, 255, 255], dtype=int32)}",Santer Commission,"{'text': ['the Santer Commission', 'the Santer Commission', 'the Santer Commission', 'the Santer Commission'], 'answer_start': [255, 255, 255, 255]}",False
6783,5728dafe3acd2414000e0061,Civil_disobedience,"However, this definition is disputed by Thoreau's political philosophy pitching the conscience vs. the collective. The individual is the final judge of right and wrong. More than this, since only individuals act, only individuals can act unjustly. When the government knocks on the door, it is an individual in the form of a postman or tax collector whose hand hits the wood. Before Thoreau’s imprisonment, when a confused taxman had wondered aloud about how to handle his refusal to pay, Thoreau had advised, “Resign.” If a man chose to be an agent of injustice, then Thoreau insisted on confronting him with the fact that he was making a choice. But if government is “the voice of the people,” as it is often called, shouldn’t that voice be heeded? Thoreau admits that government may express the will of the majority but it may also express nothing more than the will of elite politicians. Even a good form of government is “liable to be abused and perverted before the people can act through it.” Moreover, even if a government did express the voice of the people, this fact would not compel the obedience of individuals who disagree with what is being said. The majority may be powerful but it is not necessarily right. What, then, is the proper relationship between the individual and the government?",What did Thoreau claim about the majority?,"{'text': array(['not necessarily right',
       'may be powerful but it is not necessarily right',
       'The majority may be powerful but it is not necessarily right',
       'The majority may be powerful but it is not necessarily right',
       'may be powerful but it is not necessarily right'], dtype=object), 'answer_start': array([1201, 1175, 1162, 1162, 1175], dtype=int32)}",The majority may be powerful,"{'text': ['not necessarily right', 'may be powerful but it is not necessarily right', 'The majority may be powerful but it is not necessarily right', 'The majority may be powerful but it is not necessarily right', 'may be powerful but it is not necessarily right'], 'answer_start': [1201, 1175, 1162, 1162, 1175]}",False
7139,5727afa82ca10214002d93c3,Harvard_University,"Harvard was formed in 1636 by vote of the Great and General Court of the Massachusetts Bay Colony. It was initially called ""New College"" or ""the college at New Towne"". In 1638, the college became home for North America's first known printing press, carried by the ship John of London. In 1639, the college was renamed Harvard College after deceased clergyman John Harvard, who was an alumnus of the University of Cambridge. He had left the school £779 and his library of some 400 books. The charter creating the Harvard Corporation was granted in 1650.",What organization arranged to founding of school?,"{'text': array(['Massachusetts Bay Colony',
       'Great and General Court of the Massachusetts Bay Colony',
       'Great and General Court of the Massachusetts Bay Colony'],
      dtype=object), 'answer_start': array([73, 42, 42], dtype=int32)}",vote of the Great and General Court of the Massachusetts Bay Colony,"{'text': ['Massachusetts Bay Colony', 'Great and General Court of the Massachusetts Bay Colony', 'Great and General Court of the Massachusetts Bay Colony'], 'answer_start': [73, 42, 42]}",False
8404,572906e23f37b31900477f8e,Kenya,"The first direct elections for native Kenyans to the Legislative Council took place in 1957. Despite British hopes of handing power to ""moderate"" local rivals, it was the Kenya African National Union (KANU) of Jomo Kenyatta that formed a government. The Colony of Kenya and the Protectorate of Kenya each came to an end on 12 December 1963 with independence being conferred on all of Kenya. The United Kingdom ceded sovereignty over the Colony of Kenya and, under an agreement dated 8 October 1963, the Sultan of Zanzibar agreed that simultaneous with independence for the Colony of Kenya, the Sultan would cease to have sovereignty over the Protectorate of Kenya so that all of Kenya would be one sovereign, independent state. In this way, Kenya became an independent country under the Kenya Independence Act 1963 of the United Kingdom. Exactly 12 months later on 12 December 1964, Kenya became a republic under the name ""Republic of Kenya"".",Who formed the government in Kenya?,"{'text': array(['Kenya African National Union (KANU) of Jomo Kenyatta',
       'Kenya African National Union', 'Kenya African National Union'],
      dtype=object), 'answer_start': array([171, 171, 171], dtype=int32)}",Jomo Kenyatta,"{'text': ['Kenya African National Union (KANU) of Jomo Kenyatta', 'Kenya African National Union', 'Kenya African National Union'], 'answer_start': [171, 171, 171]}",False
5516,5726bf325951b619008f7cff,Victoria_and_Albert_Museum,"The Far Eastern collections include more than 70,000 works of art from the countries of East Asia: China, Japan and Korea. The T. T. Tsui Gallery of Chinese art opened in 1991, displaying a representative collection of the V&As approximately 16,000 objects from China, dating from the 4th millennium BC to the present day. Though the majority of art works on display date from the Ming and Qing dynasties, there are exquisite examples of objects dating from the Tang dynasty and earlier periods. Notably, a metre-high bronze head of the Buddha dated to c.750 AD and one of the oldest items a 2,000-year-old jade horse head from a burial, other sculptures include life-size tomb guardians. Classic examples of Chinese manufacturing are displayed that include lacquer, silk, porcelain, jade and cloisonné enamel. Two large ancestor portraits of a husband and wife painted in watercolour on silk date from the 18th century. There is a unique Chinese lacquerware table, made in the imperial workshops during the reign of the Xuande Emperor in the Ming dynasty. Examples of clothing are also displayed. One of the largest objects is a bed from the mid-17th century. The work of contemporary Chinese designers is also displayed.",What is the name of the gallery devoted to Chinese art?,"{'text': array(['The T. T. Tsui Gallery', 'T. T. Tsui Gallery of Chinese art',
       'The T. T. Tsui Gallery of Chinese art'], dtype=object), 'answer_start': array([123, 127, 123], dtype=int32)}",T. T. Tsui Gallery,"{'text': ['The T. T. Tsui Gallery', 'T. T. Tsui Gallery of Chinese art', 'The T. T. Tsui Gallery of Chinese art'], 'answer_start': [123, 127, 123]}",False
966,57335c20d058e614000b58fc,Warsaw,"Warsaw is located on two main geomorphologic formations: the plain moraine plateau and the Vistula Valley with its asymmetrical pattern of different terraces. The Vistula River is the specific axis of Warsaw, which divides the city into two parts, left and right. The left one is situated both on the moraine plateau (10 to 25 m (32.8 to 82.0 ft) above Vistula level) and on the Vistula terraces (max. 6.5 m (21.3 ft) above Vistula level). The significant element of the relief, in this part of Warsaw, is the edge of moraine plateau called Warsaw Escarpment. It is 20 to 25 m (65.6 to 82.0 ft) high in the Old Town and Central district and about 10 m (32.8 ft) in the north and south of Warsaw. It goes through the city and plays an important role as a landmark.",Which plateau is the left part of Warsaw on?,"{'text': array(['moraine', 'moraine', 'moraine'], dtype=object), 'answer_start': array([301, 301, 301], dtype=int32)}",moraine plateau,"{'text': ['moraine', 'moraine', 'moraine'], 'answer_start': [301, 301, 301]}",False
9298,572f7b33947a6a140053c9a5,Rhine,"The other third of the water flows through the Pannerdens Kanaal and redistributes in the IJssel and Nederrijn. The IJssel branch carries one ninth of the water flow of the Rhine north into the IJsselmeer (a former bay), while the Nederrijn carries approximately two ninths of the flow west along a route parallel to the Waal. However, at Wijk bij Duurstede, the Nederrijn changes its name and becomes the Lek. It flows farther west, to rejoin the Noord River into the Nieuwe Maas and to the North Sea.",Where does the Lek join? ,"{'text': array(['Noord River', 'Nieuwe Maas', 'Noord River'], dtype=object), 'answer_start': array([448, 469, 448], dtype=int32)}",Wijk bij Duurstede,"{'text': ['Noord River', 'Nieuwe Maas', 'Noord River'], 'answer_start': [448, 469, 448]}",False
8548,572926d23f37b31900478083,Kenya,"Basic formal education starts at age six years and lasts 12 years comprising eight years in primary school and four years in high school or secondary school. Primary school is free in public schools and those who exit at this level can join a vocational youth/village polytechnic or make their own arrangements for an apprenticeship program and learn a trade such as tailoring, carpentry, motor vehicle repair, brick-laying and masonry for about two years. Those who complete high school can join a polytechnic or other technical college and study for three years or proceed directly to the university and study for four years. Graduates from the polytechnics and colleges can then join the workforce and later obtain a specialised higher diploma qualification after a further one to two years of training, or join the university – usually in the second or third year of their respective course. The higher diploma is accepted by many employers in place of a bachelor's degree and direct or accelerated admission to post-graduate studies is possible in some universities.",What age does basic education start?,"{'text': array(['age six years', 'six', 'six'], dtype=object), 'answer_start': array([33, 37, 37], dtype=int32)}",six years,"{'text': ['age six years', 'six', 'six'], 'answer_start': [33, 37, 37]}",False
9884,57309446396df919000961ba,Imperialism,"The Age of Imperialism, a time period beginning around 1700, saw (generally European) industrializing nations engaging in the process of colonizing, influencing, and annexing other parts of the world in order to gain political power.[citation needed] Although imperialist practices have existed for thousands of years, the term ""Age of Imperialism"" generally refers to the activities of European powers from the early 18th century through to the middle of the 20th century, for example, the ""The Great Game"" in Persian lands, the ""Scramble for Africa"" and the ""Open Door Policy"" in China.",How many years have imperialistic practices existed?,"{'text': array(['thousands', 'thousands', 'thousands', 'thousands', 'thousands'],
      dtype=object), 'answer_start': array([299, 299, 299, 299, 299], dtype=int32)}",thousands of years,"{'text': ['thousands', 'thousands', 'thousands', 'thousands', 'thousands'], 'answer_start': [299, 299, 299, 299, 299]}",False
7110,572758e0f1498d1400e8f6ae,Private_school,"Funding for private schools is generally provided through student tuition, endowments, scholarship/voucher funds, and donations and grants from religious organizations or private individuals. Government funding for religious schools is either subject to restrictions or possibly forbidden, according to the courts' interpretation of the Establishment Clause of the First Amendment or individual state Blaine Amendments. Non-religious private schools theoretically could qualify for such funding without hassle, preferring the advantages of independent control of their student admissions and course content instead of the public funding they could get with charter status.","Along with tuition, scholarships, vouchers, donations and grants, where does funding for private schools come from?","{'text': array(['endowments', 'endowments', 'endowments'], dtype=object), 'answer_start': array([75, 75, 75], dtype=int32)}",religious organizations or private individuals,"{'text': ['endowments', 'endowments', 'endowments'], 'answer_start': [75, 75, 75]}",False
2382,56f85cf0aef237190062601b,Martin_Luther,"In response to demands for a German liturgy, Luther wrote a German Mass, which he published in early 1526. He did not intend it as a replacement for his 1523 adaptation of the Latin Mass but as an alternative for the ""simple people"", a ""public stimulation for people to believe and become Christians."" Luther based his order on the Catholic service but omitted ""everything that smacks of sacrifice""; and the Mass became a celebration where everyone received the wine as well as the bread. He retained the elevation of the host and chalice, while trappings such as the Mass vestments, altar, and candles were made optional, allowing freedom of ceremony. Some reformers, including followers of Huldrych Zwingli, considered Luther's service too papistic; and modern scholars note the conservatism of his alternative to the Catholic mass. Luther's service, however, included congregational singing of hymns and psalms in German, as well as of parts of the liturgy, including Luther's unison setting of the Creed. To reach the simple people and the young, Luther incorporated religious instruction into the weekday services in the form of the catechism. He also provided simplified versions of the baptism and marriage services.",For whom was this new mass intended?,"{'text': array(['simple people', 'simple people', '""simple people'], dtype=object), 'answer_start': array([218, 218, 217], dtype=int32)}","the ""simple people","{'text': ['simple people', 'simple people', '""simple people'], 'answer_start': [218, 218, 217]}",False
1589,56e11996e3433e1400422bde,Nikola_Tesla,"Tesla obtained around 300 patents worldwide for his inventions. Some of Tesla's patents are not accounted for, and various sources have discovered some that have lain hidden in patent archives. There are a minimum of 278 patents issued to Tesla in 26 countries that have been accounted for. Many of Tesla's patents were in the United States, Britain, and Canada, but many other patents were approved in countries around the globe.:62 Many inventions developed by Tesla were not put into patent protection.",What was the total number of patents that Tesla had?,"{'text': array(['around 300', 'around 300', 'around 300'], dtype=object), 'answer_start': array([15, 15, 15], dtype=int32)}",278,"{'text': ['around 300', 'around 300', 'around 300'], 'answer_start': [15, 15, 15]}",False
4908,572648d1708984140094c15d,Packet_switching,"The Very high-speed Backbone Network Service (vBNS) came on line in April 1995 as part of a National Science Foundation (NSF) sponsored project to provide high-speed interconnection between NSF-sponsored supercomputing centers and select access points in the United States. The network was engineered and operated by MCI Telecommunications under a cooperative agreement with the NSF. By 1998, the vBNS had grown to connect more than 100 universities and research and engineering institutions via 12 national points of presence with DS-3 (45 Mbit/s), OC-3c (155 Mbit/s), and OC-12c (622 Mbit/s) links on an all OC-12c backbone, a substantial engineering feat for that time. The vBNS installed one of the first ever production OC-48c (2.5 Gbit/s) IP links in February 1999 and went on to upgrade the entire backbone to OC-48c.",what does vBNS stand for ,"{'text': array(['The Very high-speed Backbone Network Service',
       'Very high-speed Backbone Network Service',
       'Very high-speed Backbone Network Service'], dtype=object), 'answer_start': array([0, 4, 4], dtype=int32)}",high-speed Backbone Network Service,"{'text': ['The Very high-speed Backbone Network Service', 'Very high-speed Backbone Network Service', 'Very high-speed Backbone Network Service'], 'answer_start': [0, 4, 4]}",False
4034,5725eb8a38643c19005ace80,Apollo_program,"Almost all the rocks show evidence of impact process effects. Many samples appear to be pitted with micrometeoroid impact craters, which is never seen on Earth rocks, due to the thick atmosphere. Many show signs of being subjected to high pressure shock waves that are generated during impact events. Some of the returned samples are of impact melt (materials melted near an impact crater.) All samples returned from the Moon are highly brecciated as a result of being subjected to multiple impact events.",What do a great majority of rocks sampled from the moon show?,"{'text': array(['impact process effects', 'micrometeoroid impact craters',
       'high pressure shock waves',
       'subjected to high pressure shock waves',
       'evidence of impact process effects'], dtype=object), 'answer_start': array([ 38, 100, 234, 221,  26], dtype=int32)}",show evidence of impact process effects,"{'text': ['impact process effects', 'micrometeoroid impact craters', 'high pressure shock waves', 'subjected to high pressure shock waves', 'evidence of impact process effects'], 'answer_start': [38, 100, 234, 221, 26]}",False
7250,57280e1aff5b5019007d9bed,"Jacksonville,_Florida","The area of the modern city of Jacksonville has been inhabited for thousands of years. On Black Hammock Island in the national Timucuan Ecological and Historic Preserve, a University of North Florida team discovered some of the oldest remnants of pottery in the United States, dating to 2500 BC. In the 16th century, the beginning of the historical era, the region was inhabited by the Mocama, a coastal subgroup of the Timucua people. At the time of contact with Europeans, all Mocama villages in present-day Jacksonville were part of the powerful chiefdom known as the Saturiwa, centered around the mouth of the St. Johns River. One early map shows a village called Ossachite at the site of what is now downtown Jacksonville; this may be the earliest recorded name for that area.",Who discovered pottery found on Black Hammock Island?,"{'text': array(['a University of North Florida team',
       'University of North Florida', 'University of North Florida'],
      dtype=object), 'answer_start': array([170, 172, 172], dtype=int32)}",University of North Florida team,"{'text': ['a University of North Florida team', 'University of North Florida', 'University of North Florida'], 'answer_start': [170, 172, 172]}",False
7397,5729de24af94a219006aa68c,Economic_inequality,"On the other hand, higher economic inequality tends to increase entrepreneurship rates at the individual level (self-employment). However, most of it is often based on necessity rather than opportunity. Necessity-based entrepreneurship is motivated by survival needs such as income for food and shelter (""push"" motivations), whereas opportunity-based entrepreneurship is driven by achievement-oriented motivations (""pull"") such as vocation and more likely to involve the pursue of new products, services, or underserved market needs. The economic impact of the former type of entrepreneurialism tends to be redistributive while the latter is expected to foster technological progress and thus have a more positive impact on economic growth.",What motivation is opportunity-based entrepreneurship driven by?,"{'text': array(['achievement-oriented',
       'achievement-oriented motivations (""pull"")',
       'achievement-oriented motivations'], dtype=object), 'answer_start': array([381, 381, 381], dtype=int32)}",vocation,"{'text': ['achievement-oriented', 'achievement-oriented motivations (""pull"")', 'achievement-oriented motivations'], 'answer_start': [381, 381, 381]}",False
6763,5728d7c54b864d1900164f50,Civil_disobedience,"LeGrande writes that ""the formulation of a single all-encompassing definition of the term is extremely difficult, if not impossible. In reviewing the voluminous literature on the subject, the student of civil disobedience rapidly finds himself surrounded by a maze of semantical problems and grammatical niceties. Like Alice in Wonderland, he often finds that specific terminology has no more (or no less) meaning than the individual orator intends it to have."" He encourages a distinction between lawful protest demonstration, nonviolent civil disobedience, and violent civil disobedience.",What type of civil disobedience is accompanied by aggression?,"{'text': array(['violent civil disobedience', 'violent civil disobedience',
       'violent', 'violent', 'violent'], dtype=object), 'answer_start': array([563, 563, 563, 563, 563], dtype=int32)}",nonviolent,"{'text': ['violent civil disobedience', 'violent civil disobedience', 'violent', 'violent', 'violent'], 'answer_start': [563, 563, 563, 563, 563]}",False
8678,5729506d6aef051400154caf,Intergovernmental_Panel_on_Climate_Change,"According to Sheldon Ungar's comparison with global warming, the actors in the ozone depletion case had a better understanding of scientific ignorance and uncertainties. The ozone case communicated to lay persons ""with easy-to-understand bridging metaphors derived from the popular culture"" and related to ""immediate risks with everyday relevance"", while the public opinion on climate change sees no imminent danger. The stepwise mitigation of the ozone layer challenge was based as well on successfully reducing regional burden sharing conflicts. In case of the IPCC conclusions and the failure of the Kyoto Protocol, varying regional cost-benefit analysis and burden-sharing conflicts with regard to the distribution of emission reductions remain an unsolved problem. In the UK, a report for a House of Lords committee asked to urge the IPCC to involve better assessments of costs and benefits of climate change but the Stern Review ordered by the UK government made a stronger argument in favor to combat human-made climate change.",Who ordered the Stern Review?,"{'text': array(['the UK government', 'the UK government', 'the UK government'],
      dtype=object), 'answer_start': array([946, 946, 946], dtype=int32)}",UK government,"{'text': ['the UK government', 'the UK government', 'the UK government'], 'answer_start': [946, 946, 946]}",False
